CustomerID,Recency,Frequency,Monetary,R_score,F_score,M_score,RFM_Score,Segment,KMeans_Cluster
12346.0,325,1,77183.6,1,1,5,115,Big Spenders,3
12347.0,1,182,4310.0,5,5,5,555,Champions,0
12348.0,74,31,1797.24,2,3,4,234,Big Spenders,1
12349.0,18,73,1757.55,4,4,4,444,Champions,0
12350.0,309,17,334.40000000000003,1,2,2,122,Hibernating,3
12352.0,35,85,2506.04,3,4,5,345,Loyal Customers,0
12353.0,203,4,89.0,1,1,1,111,Hibernating,3
12354.0,231,58,1079.4,1,3,4,134,Big Spenders,3
12355.0,213,13,459.4,1,1,2,112,Hibernating,3
12356.0,22,59,2811.43,4,4,5,445,Champions,0
12357.0,32,131,6207.67,4,5,5,455,Champions,0
12358.0,1,19,1168.06,5,2,4,524,Big Spenders,0
12359.0,57,248,6372.58,3,5,5,355,Loyal Customers,0
12360.0,51,129,2662.06,3,5,5,355,Loyal Customers,0
12361.0,286,10,189.9,1,1,1,111,Hibernating,3
12362.0,2,266,5226.2300000000005,5,5,5,555,Champions,0
12363.0,109,23,552.0,2,2,3,223,At Risk,1
12364.0,7,85,1313.1,5,4,4,544,Champions,0
12365.0,290,22,641.38,1,2,3,123,At Risk,3
12367.0,3,11,168.9,5,1,1,511,New Customers,0
12370.0,50,167,3545.69,3,5,5,355,Loyal Customers,0
12371.0,44,63,1887.96,3,4,4,344,Loyal Customers,0
12372.0,71,52,1298.04,3,3,4,334,Big Spenders,1
12373.0,310,14,364.6,1,1,2,112,Hibernating,3
12374.0,24,33,742.9300000000001,4,3,3,433,Promising,0
12375.0,10,17,457.5,5,2,2,522,New Customers,0
12377.0,314,77,1628.12,1,4,4,144,Loyal Customers,3
12378.0,129,219,4008.62,2,5,5,255,Loyal Customers,1
12379.0,81,40,852.24,2,3,3,233,At Risk,1
12380.0,21,104,2724.81,4,4,5,445,Champions,0
12381.0,4,87,1845.31,5,4,4,544,Champions,0
12383.0,184,99,1850.56,1,4,4,144,Loyal Customers,1
12384.0,28,27,585.27,4,2,3,423,Promising,0
12386.0,337,10,401.9,1,1,2,112,Hibernating,3
12388.0,15,100,2780.6600000000003,4,4,5,445,Champions,0
12390.0,79,32,549.84,2,3,3,233,At Risk,1
12391.0,21,100,460.89,4,4,2,442,Loyal Customers,0
12393.0,71,64,1582.6,3,4,4,344,Loyal Customers,1
12394.0,63,27,1272.48,3,2,4,324,Big Spenders,1
12395.0,18,156,3018.63,4,5,5,455,Champions,0
12397.0,35,126,2409.9,3,5,5,355,Loyal Customers,0
12398.0,45,85,1635.66,3,4,4,344,Loyal Customers,0
12399.0,118,59,1108.65,2,4,4,244,Loyal Customers,1
12401.0,302,5,84.3,1,1,1,111,Hibernating,3
12402.0,322,11,225.6,1,1,1,111,Hibernating,3
12403.0,49,5,427.7,3,1,2,312,Others,1
12405.0,148,54,1710.39,2,3,4,234,Big Spenders,1
12406.0,21,105,3415.3,4,4,5,445,Champions,0
12407.0,49,77,1708.12,3,4,4,344,Loyal Customers,0
12408.0,32,105,2888.55,4,4,5,445,Champions,0
12409.0,78,109,11072.67,2,4,5,245,Loyal Customers,0
12410.0,308,26,693.33,1,2,3,123,At Risk,3
12412.0,74,61,1226.88,2,4,4,244,Loyal Customers,1
12413.0,66,38,758.1,3,3,3,333,Others,1
12414.0,216,18,562.4100000000001,1,2,3,123,At Risk,3
12415.0,23,716,124914.53,4,5,5,455,Champions,4
12417.0,2,192,3649.1,5,5,5,555,Champions,0
12418.0,112,34,668.58,2,3,3,233,At Risk,1
12420.0,63,29,600.39,3,2,3,323,Others,1
12421.0,15,45,807.04,4,3,3,433,Promising,0
12422.0,95,39,803.5600000000001,2,3,3,233,At Risk,1
12423.0,0,125,1859.31,5,5,4,554,Champions,0
12424.0,162,30,1760.96,2,3,4,234,Big Spenders,1
12425.0,77,36,777.2,2,3,3,233,At Risk,1
12426.0,194,30,582.73,1,3,3,133,At Risk,3
12427.0,21,31,825.8000000000001,4,3,3,433,Promising,0
12428.0,25,294,7956.46,4,5,5,455,Champions,0
12429.0,8,97,3750.4,5,4,5,545,Champions,0
12430.0,42,11,256.4,3,1,2,312,Others,1
12431.0,35,236,6487.45,3,5,5,355,Loyal Customers,0
12432.0,42,108,5059.32,3,4,5,345,Loyal Customers,0
12433.0,0,420,13375.87,5,5,5,555,Champions,0
12434.0,84,50,806.14,2,3,3,233,At Risk,1
12435.0,79,36,7829.89,2,3,5,235,Big Spenders,1
12436.0,99,16,509.01,2,2,3,223,At Risk,1
12437.0,1,200,4951.41,5,5,5,555,Champions,0
12438.0,13,98,2906.85,4,4,5,445,Champions,0
12441.0,366,11,173.55,1,1,1,111,Hibernating,3
12442.0,2,12,172.06,5,1,1,511,New Customers,0
12444.0,20,177,5005.46,4,5,5,455,Champions,0
12445.0,21,4,133.4,4,1,1,411,Promising,0
12446.0,57,58,1002.31,3,3,4,334,Big Spenders,1
12447.0,242,26,476.49,1,2,2,122,Hibernating,3
12448.0,43,22,449.45,3,2,2,322,Others,1
12449.0,21,191,4067.29,4,5,5,455,Champions,0
12450.0,155,8,197.88,2,1,1,211,Hibernating,1
12451.0,10,354,9035.52,5,5,5,555,Champions,0
12452.0,16,22,430.5700000000001,4,2,2,422,Promising,0
12453.0,133,43,707.09,2,3,3,233,At Risk,1
12454.0,55,15,3528.34,3,2,5,325,Big Spenders,1
12455.0,72,90,2466.86,2,4,5,245,Loyal Customers,1
12456.0,43,125,3181.04,3,5,5,355,Loyal Customers,0
12457.0,65,63,2363.23,3,4,5,345,Loyal Customers,1
12458.0,70,38,947.4,3,3,4,334,Big Spenders,1
12461.0,93,35,826.88,2,3,3,233,At Risk,1
12462.0,18,62,1189.59,4,4,4,444,Champions,0
12463.0,52,83,1344.78,3,4,4,344,Loyal Customers,0
12464.0,9,29,1212.05,5,2,4,524,Big Spenders,0
12465.0,16,47,742.19,4,3,3,433,Promising,0
12468.0,187,38,729.54,1,3,3,133,At Risk,3
12471.0,1,460,19824.05,5,5,5,555,Champions,0
12472.0,31,339,6572.11,4,5,5,455,Champions,0
12473.0,28,168,3938.55,4,5,5,455,Champions,0
12474.0,16,424,7375.79,4,5,5,455,Champions,0
12475.0,53,36,723.38,3,3,3,333,Others,1
12476.0,15,233,6816.42,4,5,5,455,Champions,0
12477.0,22,300,13219.74,4,5,5,455,Champions,0
12478.0,3,36,680.99,5,3,3,533,Promising,0
12479.0,10,31,527.2,5,3,3,533,Promising,0
12480.0,27,154,3281.63,4,5,5,455,Champions,0
12481.0,22,217,5596.32,4,5,5,455,Champions,0
12483.0,16,75,2484.98,4,4,5,445,Champions,0
12484.0,32,346,4541.72,4,5,5,455,Champions,0
12488.0,9,55,1298.66,5,3,4,534,Big Spenders,0
12489.0,335,15,334.93,1,2,2,122,Hibernating,3
12490.0,4,245,5417.93,5,5,5,555,Champions,0
12491.0,38,26,460.4,3,2,2,322,Others,0
12492.0,62,20,263.21000000000004,3,2,2,322,Others,1
12493.0,165,22,433.74,2,2,2,222,Hibernating,1
12494.0,15,77,1246.1,4,4,4,444,Champions,0
12497.0,81,14,1043.1,2,1,4,214,Big Spenders,1
12498.0,20,23,403.7000000000001,4,2,2,422,Promising,0
12500.0,22,61,4257.82,4,4,5,445,Champions,0
12501.0,336,149,2169.39,1,5,5,155,Loyal Customers,3
12502.0,95,147,3723.87,2,5,5,255,Loyal Customers,1
12504.0,17,9,482.05,4,1,2,412,Promising,0
12506.0,232,23,73.5,1,2,1,121,Hibernating,3
12507.0,133,22,1304.81,2,2,4,224,Big Spenders,1
12508.0,25,69,398.27,4,4,2,442,Loyal Customers,0
12509.0,283,7,176.5,1,1,1,111,Hibernating,3
12510.0,142,33,982.57,2,3,4,234,Big Spenders,1
12512.0,65,34,138.03,3,3,1,331,Others,1
12513.0,112,35,612.29,2,3,3,233,At Risk,1
12514.0,266,51,1017.68,1,3,4,134,Big Spenders,3
12515.0,352,16,383.7,1,2,2,122,Hibernating,3
12516.0,77,26,1312.06,2,2,4,224,Big Spenders,1
12517.0,27,284,2502.84,4,5,5,455,Champions,0
12518.0,0,124,2056.89,5,5,4,554,Champions,0
12519.0,63,18,340.84000000000003,3,2,2,322,Others,1
12520.0,78,152,2634.26,2,5,5,255,Loyal Customers,1
12521.0,142,38,599.68,2,3,3,233,At Risk,1
12522.0,38,12,192.72,3,1,1,311,Others,1
12523.0,18,106,1789.77,4,4,4,444,Champions,0
12524.0,8,144,4485.72,5,5,5,555,Champions,0
12526.0,0,71,1316.66,5,4,4,544,Champions,0
12527.0,81,18,348.71000000000004,2,2,2,222,Hibernating,1
12528.0,8,92,1933.48,5,4,4,544,Champions,0
12530.0,59,66,1662.28,3,4,4,344,Loyal Customers,1
12531.0,14,17,125.22,4,2,1,421,Promising,0
12532.0,29,16,349.83000000000004,4,2,2,422,Promising,0
12534.0,130,63,1089.18,2,4,4,244,Loyal Customers,1
12535.0,91,34,716.35,2,3,3,233,At Risk,1
12536.0,42,261,12601.830000000002,3,5,5,355,Loyal Customers,0
12538.0,28,21,363.95,4,2,2,422,Promising,0
12539.0,21,273,5568.35,4,5,5,455,Champions,0
12540.0,19,478,13400.24,4,5,5,455,Champions,0
12541.0,29,52,981.18,4,3,4,434,Big Spenders,0
12544.0,35,19,372.7,3,2,2,322,Others,0
12545.0,74,50,1000.39,2,3,4,234,Big Spenders,1
12546.0,46,69,1161.5,3,4,4,344,Loyal Customers,0
12547.0,197,8,207.8,1,1,1,111,Hibernating,3
12548.0,165,5,95.2,2,1,1,211,Hibernating,1
12550.0,78,57,964.83,2,3,4,234,Big Spenders,1
12551.0,357,10,168.0,1,1,1,111,Hibernating,3
12552.0,38,20,437.82,3,2,2,322,Others,0
12553.0,7,191,3692.28,5,5,5,555,Champions,0
12556.0,49,121,603.71,3,4,3,343,Loyal Customers,0
12557.0,15,33,11990.96,4,3,5,435,Big Spenders,0
12558.0,7,11,269.96,5,1,2,512,New Customers,0
