CustomerID,Recency,Frequency,Monetary,R_score,F_score,M_score,RFM_Score,Segment
12346.0,325,1,77183.6,1,1,5,115,Big Spenders
12347.0,1,182,4310.0,5,5,5,555,Champions
12348.0,74,31,1797.24,2,3,4,234,Big Spenders
12349.0,18,73,1757.55,4,4,4,444,Champions
12350.0,309,17,334.40000000000003,1,2,2,122,Hibernating
12352.0,35,85,2506.04,3,4,5,345,Loyal Customers
12353.0,203,4,89.0,1,1,1,111,Hibernating
12354.0,231,58,1079.4,1,3,4,134,Big Spenders
12355.0,213,13,459.40000000000003,1,1,2,112,Hibernating
12356.0,22,59,2811.43,4,4,5,445,Champions
12357.0,32,131,6207.67,4,5,5,455,Champions
12358.0,1,19,1168.06,5,2,4,524,Big Spenders
12359.0,57,248,6372.58,3,5,5,355,Loyal Customers
12360.0,51,129,2662.06,3,5,5,355,Loyal Customers
12361.0,286,10,189.9,1,1,1,111,Hibernating
12362.0,2,266,5226.2300000000005,5,5,5,555,Champions
12363.0,109,23,552.0,2,2,3,223,At Risk
12364.0,7,85,1313.1,5,4,4,544,Champions
12365.0,290,22,641.38,1,2,3,123,At Risk
12367.0,3,11,168.9,5,1,1,511,New Customers
12370.0,50,167,3545.69,3,5,5,355,Loyal Customers
12371.0,44,63,1887.96,3,4,4,344,Loyal Customers
12372.0,71,52,1298.04,3,3,4,334,Big Spenders
12373.0,310,14,364.6,1,1,2,112,Hibernating
12374.0,24,33,742.9300000000001,4,3,3,433,Promising
12375.0,10,17,457.5,5,2,2,522,New Customers
12377.0,314,77,1628.1200000000001,1,4,4,144,Loyal Customers
12378.0,129,219,4008.62,2,5,5,255,Loyal Customers
12379.0,81,40,852.24,2,3,3,233,At Risk
12380.0,21,104,2724.81,4,4,5,445,Champions
12381.0,4,87,1845.31,5,4,4,544,Champions
12383.0,184,99,1850.56,1,4,4,144,Loyal Customers
12384.0,28,27,585.27,4,2,3,423,Promising
12386.0,337,10,401.9,1,1,2,112,Hibernating
12388.0,15,100,2780.6600000000003,4,4,5,445,Champions
12390.0,79,32,549.84,2,3,3,233,At Risk
12391.0,21,100,460.89,4,4,2,442,Loyal Customers
12393.0,71,64,1582.6000000000001,3,4,4,344,Loyal Customers
12394.0,63,27,1272.48,3,2,4,324,Big Spenders
12395.0,18,156,3018.63,4,5,5,455,Champions
12397.0,35,126,2409.9,3,5,5,355,Loyal Customers
12398.0,45,85,1635.6599999999999,3,4,4,344,Loyal Customers
